ENSG00000004468	ENSG00000004948	ENSG00000005381	ENSG00000007908	ENSG00000010610	ENSG00000020633	ENSG00000047457	ENSG00000049249	ENSG00000049768	ENSG00000066926	ENSG00000070031	ENSG00000080644	ENSG00000087460	ENSG00000090104	ENSG00000090339	ENSG00000096968	ENSG00000099866	ENSG00000100453	ENSG00000101017	ENSG00000101144	ENSG00000102245	ENSG00000103653	ENSG00000104918	ENSG00000108175	ENSG00000110911	ENSG00000111537	ENSG00000112964	ENSG00000113302	ENSG00000113520	ENSG00000113580	ENSG00000115232	ENSG00000115604	ENSG00000115607	ENSG00000116824	ENSG00000117560	ENSG00000117971	ENSG00000118503	ENSG00000121281	ENSG00000121594	ENSG00000121807	ENSG00000122882	ENSG00000129988	ENSG00000134242	ENSG00000134460	ENSG00000134954	ENSG00000136244	ENSG00000136634	ENSG00000136869	ENSG00000136997	ENSG00000137265	ENSG00000137462	ENSG00000138378	ENSG00000138684	ENSG00000139626	ENSG00000145777	ENSG00000150782	ENSG00000160180	ENSG00000160223	ENSG00000162594	ENSG00000163599	ENSG00000163600	ENSG00000164136	ENSG00000164308	ENSG00000164850	ENSG00000166949	ENSG00000168811	ENSG00000170458	ENSG00000171522	ENSG00000172179	ENSG00000173585	ENSG00000174059	ENSG00000178562	ENSG00000178573	ENSG00000179218	ENSG00000179344	ENSG00000179583	ENSG00000181634	ENSG00000183625	ENSG00000183813	ENSG00000187239	ENSG00000188404	ENSG00000196735	ENSG00000196839	ENSG00000197635	ENSG00000198821	ENSG00000198959	ENSG00000204414	ENSG00000215788	ENSG00000223865	ENSG00000231925	ENSG00000259384
ENSG00000134539	ENSG00000134545	ENSG00000204592	ENSG00000204632	ENSG00000205809
ENSG00000003436	ENSG00000103855	ENSG00000117525
ENSG00000079999	ENSG00000104490	ENSG00000181789
ENSG00000105464	ENSG00000127914	ENSG00000136861
ENSG00000108406	ENSG00000168488	ENSG00000204842
ENSG00000126264	ENSG00000203722	ENSG00000213809
ENSG00000167531	ENSG00000170266	ENSG00000176920
ENSG00000031081	ENSG00000164691
ENSG00000065923	ENSG00000198794
ENSG00000074276	ENSG00000099834
ENSG00000091513	ENSG00000100554
ENSG00000108883	ENSG00000147274
ENSG00000120949	ENSG00000171094
ENSG00000123838	ENSG00000244731
ENSG00000131095	ENSG00000160307
ENSG00000146674	ENSG00000149968
ENSG00000164816	ENSG00000164825
ENSG00000177575	ENSG00000257017
ENSG00000197249	ENSG00000205542
