ENSG00000011485	ENSG00000055208	ENSG00000057657	ENSG00000067182	ENSG00000073756	ENSG00000079999	ENSG00000081237	ENSG00000082512	ENSG00000096968	ENSG00000099866	ENSG00000100368	ENSG00000100387	ENSG00000101017	ENSG00000102245	ENSG00000104432	ENSG00000105246	ENSG00000105397	ENSG00000105401	ENSG00000105639	ENSG00000106178	ENSG00000107968	ENSG00000108094	ENSG00000108342	ENSG00000108688	ENSG00000108691	ENSG00000109320	ENSG00000109471	ENSG00000110944	ENSG00000111321	ENSG00000111424	ENSG00000111537	ENSG00000112576	ENSG00000112964	ENSG00000113302	ENSG00000113520	ENSG00000113525	ENSG00000113580	ENSG00000113851	ENSG00000114013	ENSG00000115232	ENSG00000115241	ENSG00000116711	ENSG00000117595	ENSG00000118113	ENSG00000118432	ENSG00000118503	ENSG00000120217	ENSG00000120690	ENSG00000121594	ENSG00000121807	ENSG00000122133	ENSG00000124731	ENSG00000127318	ENSG00000127472	ENSG00000128271	ENSG00000128604	ENSG00000131196	ENSG00000132170	ENSG00000132693	ENSG00000133135	ENSG00000134250	ENSG00000134460	ENSG00000134470	ENSG00000134954	ENSG00000134982	ENSG00000136244	ENSG00000136634	ENSG00000136869	ENSG00000136997	ENSG00000137265	ENSG00000137673	ENSG00000137745	ENSG00000138378	ENSG00000138684	ENSG00000139626	ENSG00000139842	ENSG00000140968	ENSG00000142166	ENSG00000143226	ENSG00000145192	ENSG00000145623	ENSG00000145839	ENSG00000145901	ENSG00000147168	ENSG00000148400	ENSG00000149968	ENSG00000150093	ENSG00000157557	ENSG00000159110	ENSG00000159128	ENSG00000160339	ENSG00000160712	ENSG00000160791	ENSG00000160868	ENSG00000161405	ENSG00000162434	ENSG00000162594	ENSG00000162924	ENSG00000163485	ENSG00000163599	ENSG00000164307	ENSG00000164399	ENSG00000164400	ENSG00000165471	ENSG00000166949	ENSG00000167986	ENSG00000168214	ENSG00000168496	ENSG00000168610	ENSG00000168811	ENSG00000170345	ENSG00000172156	ENSG00000175354	ENSG00000177243	ENSG00000178562	ENSG00000178607	ENSG00000185436	ENSG00000185651	ENSG00000185811	ENSG00000187554	ENSG00000196611	ENSG00000196839	ENSG00000198223	ENSG00000198727	ENSG00000204531	ENSG00000204671	ENSG00000205220	ENSG00000226979	ENSG00000232810
ENSG00000057663	ENSG00000085978	ENSG00000115267	ENSG00000140279	ENSG00000164816	ENSG00000167207	ENSG00000168010	ENSG00000177023	ENSG00000187796	ENSG00000204388
ENSG00000115590	ENSG00000115594	ENSG00000136689	ENSG00000136697
ENSG00000115604	ENSG00000115607	ENSG00000137496	ENSG00000150782
ENSG00000126353	ENSG00000131142	ENSG00000137077	ENSG00000173585
ENSG00000048392	ENSG00000167325	ENSG00000171848
ENSG00000070031	ENSG00000114812	ENSG00000146469
ENSG00000077549	ENSG00000126337	ENSG00000239732
ENSG00000088305	ENSG00000095794	ENSG00000119772
ENSG00000100380	ENSG00000124875	ENSG00000180871
ENSG00000112115	ENSG00000163702	ENSG00000177663
ENSG00000112486	ENSG00000115009	ENSG00000164825
ENSG00000125910	ENSG00000146535	ENSG00000267534
ENSG00000126010	ENSG00000134443	ENSG00000170890
ENSG00000160654	ENSG00000167286	ENSG00000198851
ENSG00000181634	ENSG00000215788	ENSG00000243509
ENSG00000204516	ENSG00000204520	ENSG00000213809
ENSG00000006210	ENSG00000168329
ENSG00000070019	ENSG00000197273
ENSG00000078401	ENSG00000136160
ENSG00000088832	ENSG00000228716
ENSG00000100365	ENSG00000102879
ENSG00000100665	ENSG00000167748
ENSG00000101624	ENSG00000213066
ENSG00000101868	ENSG00000177084
ENSG00000102977	ENSG00000128513
ENSG00000106952	ENSG00000120949
ENSG00000112038	ENSG00000116329
ENSG00000116288	ENSG00000163349
ENSG00000120659	ENSG00000164761
ENSG00000125266	ENSG00000196411
ENSG00000126016	ENSG00000151276
ENSG00000138792	ENSG00000187094
ENSG00000141985	ENSG00000188906
ENSG00000160223	ENSG00000163600
ENSG00000179344	ENSG00000237541
