ENSG00000003436	ENSG00000005381	ENSG00000005421	ENSG00000007171	ENSG00000010704	ENSG00000011465	ENSG00000016402	ENSG00000017427	ENSG00000019991	ENSG00000035862	ENSG00000047457	ENSG00000073060	ENSG00000087237	ENSG00000087245	ENSG00000091409	ENSG00000091513	ENSG00000091583	ENSG00000092969	ENSG00000093010	ENSG00000096968	ENSG00000100234	ENSG00000100342	ENSG00000102265	ENSG00000102755	ENSG00000105329	ENSG00000105835	ENSG00000106178	ENSG00000106366	ENSG00000106991	ENSG00000107562	ENSG00000107611	ENSG00000108691	ENSG00000110243	ENSG00000110492	ENSG00000111424	ENSG00000112715	ENSG00000115457	ENSG00000118113	ENSG00000118137	ENSG00000118523	ENSG00000119630	ENSG00000120833	ENSG00000120885	ENSG00000121807	ENSG00000123191	ENSG00000123992	ENSG00000125378	ENSG00000127318	ENSG00000130164	ENSG00000130203	ENSG00000132170	ENSG00000133116	ENSG00000135744	ENSG00000137462	ENSG00000137673	ENSG00000138207	ENSG00000138792	ENSG00000141753	ENSG00000142224	ENSG00000143839	ENSG00000144648	ENSG00000144891	ENSG00000145192	ENSG00000146678	ENSG00000148346	ENSG00000149968	ENSG00000159640	ENSG00000160791	ENSG00000162434	ENSG00000163347	ENSG00000163394	ENSG00000163453	ENSG00000163629	ENSG00000163631	ENSG00000165029	ENSG00000169174	ENSG00000169248	ENSG00000169344	ENSG00000170323	ENSG00000171105	ENSG00000173511	ENSG00000175445	ENSG00000178568	ENSG00000180772	ENSG00000182220	ENSG00000182492	ENSG00000182752	ENSG00000185737	ENSG00000187094	ENSG00000197594	ENSG00000197635	ENSG00000226979	ENSG00000254647	ENSG00000257017
ENSG00000043591	ENSG00000123416	ENSG00000127824	ENSG00000150594	ENSG00000154277	ENSG00000167552	ENSG00000171533	ENSG00000188229	ENSG00000196230	ENSG00000258947
ENSG00000087494	ENSG00000121853	ENSG00000132693	ENSG00000136244	ENSG00000142515	ENSG00000157017	ENSG00000160339	ENSG00000163794	ENSG00000174697
ENSG00000078401	ENSG00000117298	ENSG00000120907	ENSG00000136160	ENSG00000148926	ENSG00000151617	ENSG00000170214
ENSG00000116218	ENSG00000137672	ENSG00000161270	ENSG00000183853
ENSG00000007952	ENSG00000051523	ENSG00000165168
ENSG00000073756	ENSG00000079999	ENSG00000116044
ENSG00000115252	ENSG00000123360	ENSG00000154678
ENSG00000162711	ENSG00000168209	ENSG00000265972
ENSG00000006210	ENSG00000168329
ENSG00000009724	ENSG00000165471
ENSG00000019582	ENSG00000240972
ENSG00000055917	ENSG00000188613
ENSG00000070915	ENSG00000074803
ENSG00000085662	ENSG00000102908
ENSG00000089041	ENSG00000135124
ENSG00000091879	ENSG00000154188
ENSG00000092009	ENSG00000137033
ENSG00000100665	ENSG00000167748
ENSG00000100985	ENSG00000187498
ENSG00000101144	ENSG00000128791
ENSG00000101200	ENSG00000126895
ENSG00000105698	ENSG00000158773
ENSG00000107937	ENSG00000164346
ENSG00000110799	ENSG00000160323
ENSG00000112306	ENSG00000197756
ENSG00000118432	ENSG00000128271
ENSG00000120659	ENSG00000164761
ENSG00000135218	ENSG00000163295
ENSG00000136237	ENSG00000158186
ENSG00000137496	ENSG00000150782
ENSG00000152086	ENSG00000167553
ENSG00000167711	ENSG00000197766
