ENSG00000026559	ENSG00000053918	ENSG00000055118	ENSG00000075043	ENSG00000089558	ENSG00000102057	ENSG00000104848	ENSG00000108797	ENSG00000111262	ENSG00000116396	ENSG00000117013	ENSG00000124134	ENSG00000129159	ENSG00000130037	ENSG00000130226	ENSG00000131398	ENSG00000135519	ENSG00000140015	ENSG00000140575	ENSG00000143105	ENSG00000143473	ENSG00000151079	ENSG00000156486	ENSG00000157554	ENSG00000158445	ENSG00000162975	ENSG00000164794	ENSG00000166006	ENSG00000168263	ENSG00000168418	ENSG00000170745	ENSG00000171126	ENSG00000171385	ENSG00000173826	ENSG00000177272	ENSG00000177301	ENSG00000178342	ENSG00000182132	ENSG00000182255	ENSG00000182674	ENSG00000183960	ENSG00000184156	ENSG00000184408	ENSG00000184611	ENSG00000185760
ENSG00000013725	ENSG00000067182	ENSG00000101017	ENSG00000102524	ENSG00000110448	ENSG00000118503	ENSG00000120949	ENSG00000125726	ENSG00000131323	ENSG00000139193	ENSG00000156738	ENSG00000159958	ENSG00000161955	ENSG00000170017	ENSG00000172175	ENSG00000179344	ENSG00000196664	ENSG00000196735	ENSG00000198286	ENSG00000204287	ENSG00000226979	ENSG00000227507	ENSG00000232810	ENSG00000239732
ENSG00000027697	ENSG00000100385	ENSG00000105397	ENSG00000110944	ENSG00000113302	ENSG00000114423	ENSG00000119535	ENSG00000134352	ENSG00000134460	ENSG00000138378	ENSG00000142166	ENSG00000147168	ENSG00000159110	ENSG00000159128	ENSG00000160712	ENSG00000161405	ENSG00000163508	ENSG00000164485	ENSG00000168610	ENSG00000168685	ENSG00000168811	ENSG00000185811
ENSG00000082556	ENSG00000085063	ENSG00000090104	ENSG00000106804	ENSG00000112038	ENSG00000116329	ENSG00000118432	ENSG00000125910	ENSG00000150594	ENSG00000160683	ENSG00000163485	ENSG00000169220	ENSG00000170989	ENSG00000180739	ENSG00000184160	ENSG00000213694	ENSG00000267534
ENSG00000022355	ENSG00000094755	ENSG00000102287	ENSG00000109158	ENSG00000113327	ENSG00000145863	ENSG00000145864	ENSG00000151834	ENSG00000163285	ENSG00000163288	ENSG00000166206	ENSG00000182256	ENSG00000186297	ENSG00000187730
ENSG00000105464	ENSG00000105737	ENSG00000116032	ENSG00000120251	ENSG00000149403	ENSG00000152578	ENSG00000155511	ENSG00000161509	ENSG00000163873	ENSG00000164418	ENSG00000171189	ENSG00000176884	ENSG00000183454	ENSG00000198785
ENSG00000111319	ENSG00000136531	ENSG00000144285	ENSG00000153253	ENSG00000166828	ENSG00000168447	ENSG00000169432	ENSG00000183873	ENSG00000185313	ENSG00000196876
ENSG00000018280	ENSG00000115232	ENSG00000139626	ENSG00000140968	ENSG00000150093	ENSG00000162692	ENSG00000164171	ENSG00000216490
ENSG00000113749	ENSG00000128271	ENSG00000134453	ENSG00000170425	ENSG00000171522	ENSG00000185231	ENSG00000188778
ENSG00000006283	ENSG00000102001	ENSG00000148408	ENSG00000172575	ENSG00000196557	ENSG00000198216
ENSG00000019186	ENSG00000077097	ENSG00000111012	ENSG00000111424	ENSG00000131747
ENSG00000114013	ENSG00000120217	ENSG00000121594	ENSG00000163599	ENSG00000178562
ENSG00000120907	ENSG00000170214	ENSG00000171873	ENSG00000173198	ENSG00000196639
ENSG00000035862	ENSG00000118113	ENSG00000137673	ENSG00000196611
ENSG00000040608	ENSG00000105695	ENSG00000115310	ENSG00000169783
ENSG00000048392	ENSG00000167325	ENSG00000171848
ENSG00000073756	ENSG00000095303	ENSG00000157870
ENSG00000079999	ENSG00000102763	ENSG00000103495
ENSG00000106348	ENSG00000137364	ENSG00000178035
ENSG00000117614	ENSG00000166946	ENSG00000184221
ENSG00000123146	ENSG00000127507	ENSG00000196352
ENSG00000006116	ENSG00000142408
ENSG00000008311	ENSG00000169814
ENSG00000025434	ENSG00000164442
ENSG00000051523	ENSG00000165168
ENSG00000062822	ENSG00000177084
ENSG00000087085	ENSG00000129353
ENSG00000091972	ENSG00000163606
ENSG00000100030	ENSG00000102882
ENSG00000103546	ENSG00000108576
ENSG00000104267	ENSG00000167434
ENSG00000104918	ENSG00000113580
ENSG00000105675	ENSG00000186009
ENSG00000125735	ENSG00000243509
ENSG00000131042	ENSG00000204632
ENSG00000132639	ENSG00000165646
ENSG00000136213	ENSG00000169826
ENSG00000136928	ENSG00000204681
ENSG00000164691	ENSG00000171680
ENSG00000204592	ENSG00000205809
